,TCGA-AZ-4313-01A-01R-1410-07,TCGA-CM-4746-01A-01R-1410-07
ENSG00000000003,324.87426903,715.413573165
ENSG00000000005,12.4425929647,11.5020298162
ENSG00000000419,502.436346024,1135.33706073
ENSG00000000457,33.6023798224,41.9707948369
ENSG00000000460,44.5595609531,47.5861867037
ENSG00000000938,14.6781831488,9.59495751502
ENSG00000000971,16.99286428,14.7024513721
ENSG00000001036,682.03212929,756.731706
ENSG00000001084,131.050003502,102.259292377
ENSG00000001167,99.3959001939,175.577735645
ENSG00000001460,27.6028042089,22.0481473905
ENSG00000001461,70.10355392,77.7173873414
ENSG00000001497,319.001457491,209.624098954
ENSG00000001561,88.1008835144,109.360372933
ENSG00000001617,704.909947813,326.416769899
ENSG00000001626,218.528625274,185.247908177
ENSG00000001629,101.146239584,96.4439016196
ENSG00000001630,89.8502144265,131.515763602
ENSG00000001631,52.2507222882,51.1411441761
ENSG00000002016,14.3431322243,20.0356758038
ENSG00000002330,500.067996687,489.339088161
ENSG00000002549,799.185938087,839.886219467
ENSG00000002586,1150.1373013,1151.84679586
ENSG00000002587,76.9402874697,52.9136566364
ENSG00000002726,3441.3128706,2723.50259555
ENSG00000002745,1.67538468455,0.0
ENSG00000002822,163.726562776,99.3788103119
ENSG00000002834,917.922175097,896.409007756
ENSG00000002919,221.203743934,189.667599819
ENSG00000002933,2534.10577734,1252.64896147
ENSG00000003056,379.947260752,363.468608603
ENSG00000003096,5.99832342811,57.6347832288
ENSG00000003137,3.99453134062,27.0788897366
ENSG00000003147,511.975431231,184.513786014
ENSG00000003249,190.438889419,102.041802401
ENSG00000003393,24.5531626825,24.4912892195
ENSG00000003400,58.9630449354,113.738594391
ENSG00000003402,36.0526364171,38.6328108742
ENSG00000003436,24.0974209132,7.48276722034
ENSG00000003509,72.3269671478,69.6569562463
ENSG00000003756,113.470146244,77.3975964674
ENSG00000003987,3.83937417874,3.03649276243
ENSG00000003989,30.4099805286,41.0736199457
ENSG00000004059,7482.16323371,2925.04835423
ENSG00000004139,12.1006189509,24.2764400519
ENSG00000004142,2289.95228038,3795.03716441
ENSG00000004399,124.177351921,69.9807211488
ENSG00000004455,631.215148759,617.167816722
ENSG00000004468,0.0,2.1611399567
ENSG00000004478,1861.22236434,1197.37166605
ENSG00000004487,541.14925311,705.749876582
ENSG00000004534,80.3078738673,60.1890204458
ENSG00000004660,89.7815724237,67.3482268463
ENSG00000004700,28.9223369843,59.1460474453
ENSG00000004766,27.9316434373,31.6015856214
ENSG00000004776,22.2090628306,7.16928687727
ENSG00000004777,20.4272710978,10.3270442608
ENSG00000004779,2047.64783165,2312.468717
ENSG00000004799,5.64195709881,56.2773948341
ENSG00000004838,15.4449656203,4.00328401184
ENSG00000004846,0.0,0.133364070462
ENSG00000004848,0.0,24.4678089065
ENSG00000004864,305.814604789,194.000902899
ENSG00000004866,178.278623612,100.34619664
ENSG00000004897,93.4056423269,90.0947388237
ENSG00000004961,475.759024748,469.499557104
ENSG00000004975,147.733855704,167.298994429
ENSG00000005001,841.525302377,312.904682095
ENSG00000005007,571.966006261,398.788748179
ENSG00000005020,63.6740268763,64.1877163907
ENSG00000005022,23198.935567,22226.8598096
ENSG00000005059,169.551185222,169.984475415
ENSG00000005073,209.190695843,155.188490714
ENSG00000005075,2366.8140892,1000.39647077
ENSG00000005100,82.4972885663,79.0516436138
ENSG00000005102,8.74579275118,8.20905859062
ENSG00000005108,0.666536060797,0.451844157844
ENSG00000005156,60.6154931036,65.1725302717
ENSG00000005175,69.0416656813,74.3346197522
ENSG00000005187,13.9693926268,38.1950128439
ENSG00000005189,28.7735305997,19.2054634947
ENSG00000005194,704.79122273,455.964193659
ENSG00000005206,256.186056321,146.657064043
ENSG00000005238,101.727141279,40.0665703941
ENSG00000005243,135.774043755,26.0116136199
ENSG00000005249,56.5153270917,27.4471781439
ENSG00000005302,140.174195821,65.75657563
ENSG00000005339,78.922649212,93.8940586345
ENSG00000005379,11.8693494149,4.45804114944
ENSG00000005381,3.61542883289,0.350127963773
ENSG00000005421,0.0,3.05150367298
ENSG00000005436,21.9936775918,50.8278170282
ENSG00000005448,338.121333486,96.692121979
ENSG00000005469,39.1368381754,37.9366004501
ENSG00000005471,0.0,0.823693087982
ENSG00000005483,74.9522796277,78.2207789619
ENSG00000005486,2512.74483257,941.212529168
ENSG00000005513,92.8651517097,0.557107942358
ENSG00000005700,90.2010825169,111.39552793
ENSG00000005801,44.3403219729,54.710361476
ENSG00000005810,30.4951534408,23.8470849597
ENSG00000005812,80.4882528397,67.4627668036
ENSG00000005844,4.50220803982,5.15032175637
ENSG00000005882,177.429382088,158.570342089
ENSG00000005884,478.974397687,155.54690189
ENSG00000005889,48.1634628034,28.0052004044
ENSG00000005893,246.839707009,310.08995041
ENSG00000005961,0.656149577413,0.222401585348
ENSG00000006007,756.335267429,558.287759721
ENSG00000006015,1367.20836049,868.948203868
ENSG00000006016,9.05140731665,3.68156421551
ENSG00000006025,107.2401704,52.0344921598
ENSG00000006042,653.743695631,656.666042325
ENSG00000006047,96.6175990184,83.40839638
ENSG00000006062,41.7008172219,32.0662649419
ENSG00000006071,0.268684442625,2.54997297193
ENSG00000006118,105.196001085,120.042318607
ENSG00000006125,1658.87970532,916.109563398
ENSG00000006128,6.75211973769,0.0
ENSG00000006194,86.5337998842,83.3699802627
ENSG00000006210,38.9614446715,30.3324463377
ENSG00000006282,371.940422672,240.109452103
ENSG00000006327,1305.74387259,361.413527783
ENSG00000006432,13.9680768166,9.7679652532
ENSG00000006451,740.879792576,520.431542815
ENSG00000006453,737.111296664,445.138302722
ENSG00000006459,72.4208570563,67.2915500463
ENSG00000006468,13.0676869276,5.52055965178
ENSG00000006530,109.040494215,75.8041213545
ENSG00000006534,161.610650987,108.437790304
ENSG00000006555,172.640160084,166.577758979
ENSG00000006576,36.6503479605,18.2769550814
ENSG00000006606,423.041752049,246.560508835
ENSG00000006607,82.2565872493,112.208566735
ENSG00000006611,771.683415597,951.843003305
ENSG00000006625,846.141652389,510.982055965
ENSG00000006634,94.1765060112,52.7977384361
ENSG00000006638,20.2131893002,9.28233985164
ENSG00000006652,65.1710995816,45.6630634896
ENSG00000006695,177.406441993,235.467678487
ENSG00000006704,198.145307563,166.810703883
ENSG00000006712,1040.26317984,852.802796887
ENSG00000006715,128.630928959,121.856739419
ENSG00000006740,23.3505048056,52.6756034163
ENSG00000006744,353.321862923,403.539667352
ENSG00000006747,63.1438260603,8.92216302352
ENSG00000006756,774.827762157,236.724753622
ENSG00000006757,585.348540027,149.251176783
ENSG00000006831,357.846264154,331.005901943
ENSG00000006837,1.19145773772,2.42306418109
ENSG00000007038,5.55508841519,0.627631520217
ENSG00000007047,83.8468727801,135.341470815
ENSG00000007062,168.542707648,370.830351117
ENSG00000007080,2493.64962937,1568.47498877
ENSG00000007129,6.63267537188,1.28465265376
ENSG00000007168,150.137309206,241.988441248
ENSG00000007171,121.235104475,392.301111771
ENSG00000007202,454.151887311,597.824901741
ENSG00000007216,32.7421893435,65.439632748
ENSG00000007237,8.29431534623,3.66698376318
ENSG00000007255,1866.03735629,2032.44441973
ENSG00000007264,7.4763181806,5.66444646343
ENSG00000007306,107.934871605,248.401581632
ENSG00000007312,10.5065951083,8.90301346347
ENSG00000007314,0.220824924471,0.149697005004
ENSG00000007341,36.1489394021,24.2009173767
ENSG00000007372,1.47840061056,1.0022063593
ENSG00000007376,1327.2180863,515.845337201
ENSG00000007384,373.938429076,121.847238936
ENSG00000007392,89.9366355884,64.9658581747
ENSG00000007402,48.6828840093,156.418144798
ENSG00000007516,31.4092375731,4.82089632386
ENSG00000007520,1654.11956455,1391.4772579
ENSG00000007541,337.769162292,183.322495891
ENSG00000007545,32.1902766644,26.5399756417
ENSG00000007866,405.362789604,237.507223689
ENSG00000007908,1.98597944614,1.61555227952
ENSG00000007923,176.632613415,193.331252294
ENSG00000007933,2.10354392389,1.06949280993
ENSG00000007944,131.496983288,207.997251347
ENSG00000007952,524.235751179,144.006565472
ENSG00000007968,57.7346097333,50.4498657978
ENSG00000008018,4451.95234215,3543.86239934
ENSG00000008056,10.7827110907,9.61788096187
ENSG00000008083,46.6261089652,50.9008641175
ENSG00000008086,2.32852979428,5.52477841826
ENSG00000008118,1.36109353671,2.76805201853
ENSG00000008128,44.9378016688,35.9781991995
ENSG00000008130,509.396953499,346.64956503
ENSG00000008226,42.5908988559,2.22094842936
ENSG00000008256,87.4825997657,42.7246541415
ENSG00000008277,2.53786651249,3.94683964345
ENSG00000008282,1262.5462726,1250.01622962
ENSG00000008283,545.31598521,565.52655546
ENSG00000008294,56.6300470272,27.8633138906
ENSG00000008300,11.9457959232,29.0105738693
ENSG00000008311,1.98338396004,2.95797499519
ENSG00000008323,271.033980854,361.671337543
ENSG00000008324,431.139193583,390.008104003
ENSG00000008382,725.257594983,624.204511214
ENSG00000008394,615.859700365,625.406380887
ENSG00000008405,79.5086204299,59.020424825
ENSG00000008438,2.52936548904,0.0
ENSG00000008441,309.496083133,212.157878434
ENSG00000008513,16.4818775366,7.35441200756
ENSG00000008516,6.62073370859,8.07874028289
ENSG00000008517,1989.69395179,1344.19504323
ENSG00000008710,43.7302343345,29.8445358149
