,TCGA-CK-5913-01A-11R-1653-07,TCGA-AA-A01Z-01A-11R-A083-07
ENSG00000000003.13,46.1686946588,106.958945341
ENSG00000000005.5,4.80923851408,0.0
ENSG00000000419.11,44.4842297488,32.5130486424
ENSG00000000457.12,6.39401348956,3.32819088658
ENSG00000000460.15,3.3336148995,1.92039198706
ENSG00000000938.11,4.9129636076,0.461028985472
ENSG00000000971.14,7.76522805913,1.66809755749
ENSG00000001036.12,188.641835024,159.979331353
ENSG00000001084.9,16.5248850061,13.8121324339
ENSG00000001167.13,65.1519654044,27.8291423259
ENSG00000001460.16,5.58702639197,2.58135469947
ENSG00000001461.15,24.5872024027,23.8109848223
ENSG00000001497.15,24.8666380241,55.6143087177
ENSG00000001561.6,52.4568396604,16.2549145707
ENSG00000001617.10,6.72949458308,19.6849489515
ENSG00000001626.13,92.4391605789,94.5984819917
ENSG00000001629.8,29.7156378418,16.5335781678
ENSG00000001630.14,20.3608968972,13.8004994408
ENSG00000001631.13,4.45337377552,2.84200112509
ENSG00000002016.15,3.06735041172,1.40396086205
ENSG00000002079.11,0.112926358006,0.0
ENSG00000002330.12,27.1964837573,57.2924197525
ENSG00000002549.11,84.1252555622,52.2223544049
ENSG00000002586.16,169.598553905,24.6592959576
ENSG00000002587.8,13.9988283765,7.49073369719
ENSG00000002726.18,64.7267065779,48.4955591944
ENSG00000002745.11,0.0308470588967,0.0
ENSG00000002746.13,0.447534038317,0.282599924157
ENSG00000002822.14,8.40203191733,13.0246236293
ENSG00000002834.16,186.018195213,54.7360324523
ENSG00000002919.13,8.69340918224,3.55349142928
ENSG00000002933.6,43.0560312351,133.05503112
ENSG00000003056.6,69.2071882269,32.3860876715
ENSG00000003096.12,0.558192445461,1.93264763888
ENSG00000003137.7,1.30946838127,0.491963515227
ENSG00000003147.16,17.0468060046,18.5087536185
ENSG00000003249.12,20.8656283836,23.9613897346
ENSG00000003393.13,7.10301030073,2.97400315355
ENSG00000003400.13,23.1427566778,4.31457977096
ENSG00000003402.18,12.1418797109,7.6348685251
ENSG00000003436.13,2.38912576144,1.14524327985
ENSG00000003509.14,5.10372664326,3.54963096529
ENSG00000003756.15,11.6383811045,11.9005733642
ENSG00000003987.12,0.671336298754,0.23886634497
ENSG00000003989.15,4.1558501937,1.01836718864
ENSG00000004059.9,85.9151156076,393.71238743
ENSG00000004139.12,1.98713504973,0.762462417472
ENSG00000004142.10,249.847340316,207.31579403
ENSG00000004399.11,29.8947111795,14.2008185336
ENSG00000004455.15,77.810231182,49.180852545
ENSG00000004468.11,1.15353241805,0.668423099332
ENSG00000004478.7,477.122146539,219.263816775
ENSG00000004487.14,93.1249671846,85.0935526337
ENSG00000004534.13,8.14357644648,11.5908302232
ENSG00000004660.13,13.2725053145,9.25325009178
ENSG00000004700.14,14.0733686638,4.20061852668
ENSG00000004766.14,4.73846648314,2.23337728113
ENSG00000004776.10,0.958578641427,7.82293785096
ENSG00000004777.17,1.31117666704,4.7237060273
ENSG00000004779.8,154.328049134,206.492280332
ENSG00000004799.7,7.24840811168,1.56189933955
ENSG00000004809.12,0.0121266011129,0.0
ENSG00000004838.12,0.372941206489,0.266697737238
ENSG00000004846.15,0.0176217145381,0.0913619010463
ENSG00000004848.6,0.891979818854,0.0
ENSG00000004864.12,24.0518882811,17.2884492195
ENSG00000004866.17,4.98770974291,5.15944396229
ENSG00000004897.10,21.7010651405,4.45728284028
ENSG00000004939.12,0.0206860083945,0.134061376937
ENSG00000004948.12,0.00880338898029,0.0
ENSG00000004961.13,51.7841614364,87.7231806783
ENSG00000004975.10,13.9822382291,12.4994812662
ENSG00000005001.8,63.3261127899,15.190385879
ENSG00000005007.11,53.798231528,54.7082534938
ENSG00000005020.11,6.57372009835,24.1546175005
ENSG00000005022.5,1327.04290821,2589.70093846
ENSG00000005059.14,20.8935806498,8.9442895792
ENSG00000005073.5,21.2335855197,44.0668215575
ENSG00000005075.14,108.973976606,156.850654776
ENSG00000005100.11,19.312882208,13.3993295442
ENSG00000005102.11,1.50144650309,0.291916132534
ENSG00000005108.14,0.443951909035,0.0728393080222
ENSG00000005156.10,9.4779509668,10.2679715498
ENSG00000005175.8,21.2732270783,9.15877081304
ENSG00000005187.10,9.40068727563,7.36206363879
ENSG00000005189.18,2.57469589397,0.883128100889
ENSG00000005194.13,22.17282682,31.7852358335
ENSG00000005206.15,11.8891390676,47.7899248204
ENSG00000005238.18,6.35101992871,7.35167733776
ENSG00000005243.8,5.92617201201,3.21268514018
ENSG00000005249.11,34.9975504291,2.31189864211
ENSG00000005302.16,8.3597834461,8.7386249357
ENSG00000005339.11,29.281909791,32.199131775
ENSG00000005379.14,0.60991061751,1.04926053683
ENSG00000005381.7,0.0837404859152,0.0723604388895
ENSG00000005421.7,0.596041436326,0.0
ENSG00000005436.12,5.04997130649,4.05240178324
ENSG00000005448.15,5.71718644562,9.56437740723
ENSG00000005469.10,1.01960320932,4.45828787255
ENSG00000005471.14,0.179450901891,0.215982188152
