,TCGA-CK-5913-01A-11R-1653-07,TCGA-AA-A01Z-01A-11R-A083-07
ENSG00000000003.13,374.835619779,495.697100832
ENSG00000000005.5,7.1713303174,0.0
ENSG00000000419.11,131.742704309,54.9647429459
ENSG00000000457.12,27.3805601692,8.13547690156
ENSG00000000460.15,4.53906735216,1.49261256128
ENSG00000000938.11,30.7406989068,1.64666187126
ENSG00000000971.14,15.0769111502,1.84878162174
ENSG00000001036.12,499.657227626,241.882276486
ENSG00000001084.9,34.6574307887,16.5357790618
ENSG00000001167.13,157.676581641,38.4454992591
ENSG00000001460.16,22.5195635744,5.93926823324
ENSG00000001461.15,76.9380222943,42.5319474709
ENSG00000001497.15,170.660838082,217.875979902
ENSG00000001561.6,174.622872475,30.8879940847
ENSG00000001617.10,36.5780976508,61.077178806
ENSG00000001626.13,66.8422221192,39.0467653051
ENSG00000001629.8,25.7446246406,8.17663043132
ENSG00000001630.14,53.726233696,20.7869276469
ENSG00000001631.13,44.7430511007,16.2992155319
ENSG00000002016.15,12.8992058076,3.37023814293
ENSG00000002079.11,0.178554558187,0.0
ENSG00000002330.12,97.9018753793,117.728450261
ENSG00000002549.11,408.283237923,144.67637215
ENSG00000002586.16,403.088710233,33.4553186813
ENSG00000002587.8,41.2270404524,12.5927573928
ENSG00000002726.18,400.804359464,171.418190666
ENSG00000002745.11,0.102586900142,0.0
ENSG00000002746.13,0.277748461052,0.100116034316
ENSG00000002822.14,5.38749721471,4.76731580922
ENSG00000002834.16,811.299441017,136.271511524
ENSG00000002919.13,80.4881793111,18.7803318837
ENSG00000002933.6,1229.19232364,2168.31888996
ENSG00000003056.6,1117.85603231,298.606437029
ENSG00000003096.12,1.07375298198,2.12216485269
ENSG00000003137.7,11.8505794135,2.54146113767
ENSG00000003147.16,31.0690874444,19.2561145767
ENSG00000003249.12,193.881135936,127.093136824
ENSG00000003393.13,25.9087671632,6.19229641073
ENSG00000003400.13,162.124468644,17.2535309777
ENSG00000003402.18,103.052296933,36.9895733004
ENSG00000003436.13,6.53558708922,1.78833697321
ENSG00000003509.14,42.5632780127,16.8980610637
ENSG00000003756.15,131.299111435,76.6378137751
ENSG00000003987.12,0.712907855103,0.144795225909
ENSG00000003989.15,22.0801948346,3.0885413757
ENSG00000004059.9,1454.07014117,3803.65278273
ENSG00000004139.12,11.2666901733,2.46770600698
ENSG00000004142.10,1052.56985495,498.556743784
ENSG00000004399.11,147.401964825,39.9694614804
ENSG00000004455.15,200.308560694,72.2711334828
ENSG00000004468.11,1.83085508735,0.605594085955
ENSG00000004478.7,3839.15099656,1007.11391409
ENSG00000004487.14,188.940350327,98.5510481856
ENSG00000004534.13,19.1273124357,15.5402974569
ENSG00000004660.13,61.635094932,24.5287530027
ENSG00000004700.14,54.3608607036,9.26205833186
ENSG00000004766.14,12.4114201371,3.33927177435
ENSG00000004776.10,12.412255447,57.8227636987
ENSG00000004777.17,22.02994638,45.304474635
ENSG00000004779.8,416.797660888,318.339284265
ENSG00000004799.7,49.3312949953,6.0679071732
ENSG00000004809.12,0.0310752119034,0.0
ENSG00000004838.12,8.15268438078,3.32801747166
ENSG00000004846.15,0.0199529466909,0.0590513753143
ENSG00000004848.6,2.50312036348,0.0
ENSG00000004864.12,13.4084311634,5.50162311441
ENSG00000004866.17,8.49049863742,5.01349900375
ENSG00000004897.10,91.4860477743,10.7263019336
ENSG00000004939.12,0.163437023277,0.60462128422
ENSG00000004948.12,0.0107459375046,0.0
ENSG00000004961.13,228.647229941,221.100321896
ENSG00000004975.10,289.402047456,147.68041376
ENSG00000005001.8,929.442063987,127.266560859
ENSG00000005007.11,405.685273389,235.494138708
ENSG00000005020.11,2.14495642187,4.49897353035
ENSG00000005022.5,16113.0572579,17949.345103
ENSG00000005059.14,10.9541947467,2.67682169679
ENSG00000005073.5,302.992812657,358.944023343
ENSG00000005075.14,386.200345199,317.308863067
ENSG00000005100.11,121.938749541,48.2929485475
ENSG00000005102.11,5.98882601917,0.664654483925
ENSG00000005108.14,0.276169118705,0.0258649120529
ENSG00000005156.10,99.8513967763,61.7490601745
ENSG00000005175.8,61.3913268268,15.087484737
ENSG00000005187.10,9.84190920488,4.39972289353
ENSG00000005189.18,14.6739931854,2.87310888548
ENSG00000005194.13,220.327602283,180.293176268
ENSG00000005206.15,98.071533346,225.027147154
ENSG00000005238.18,154.322589506,101.971421355
ENSG00000005243.8,35.7903593104,11.0755672485
ENSG00000005249.11,17.8451717829,0.672911396101
ENSG00000005302.16,124.701487366,74.4090421865
ENSG00000005339.11,62.8597192664,39.4569224893
ENSG00000005379.14,6.45031016557,6.33437473577
ENSG00000005381.7,0.437142410048,0.215622792641
ENSG00000005421.7,1.25424553578,0.0
ENSG00000005436.12,21.4848689276,9.84152283132
ENSG00000005448.15,216.561650574,206.805417237
ENSG00000005469.10,2.47629213081,6.18080155124
ENSG00000005471.14,0.574129132506,0.394446297922
ENSG00000005483.18,87.8785561983,19.0301970682
ENSG00000005486.15,69.3552108482,122.072336406
ENSG00000005513.9,37.1475258118,37.8782375256
ENSG00000005700.13,159.661789224,25.6813255864
ENSG00000005801.15,51.2691189907,20.5060178686
ENSG00000005810.16,19.8500965551,7.54641596864
ENSG00000005812.9,107.235968378,28.1046280358
ENSG00000005844.16,16.5835191829,3.40435479452
ENSG00000005882.10,58.2173825465,79.7007013765
ENSG00000005884.16,508.154683547,200.603041434
