,TCGA-CK-5913-01A-11R-1653-07,TCGA-AA-A01Z-01A-11R-A083-07
ENSG00000000003.13,287379.928083,857955.831163
ENSG00000000005.5,18132.8570075,0.0
ENSG00000000419.11,697817.560238,657252.875934
ENSG00000000457.12,47922.0535455,32144.6781207
ENSG00000000460.15,39432.5653841,29273.0834729
ENSG00000000938.11,55438.2822661,6703.99113732
ENSG00000000971.14,47772.4682397,13224.6410806
ENSG00000001036.12,814984.863341,890665.007288
ENSG00000001084.9,132217.210016,142412.876601
ENSG00000001167.13,301843.819834,166147.408272
ENSG00000001460.16,42799.9239226,25482.9053317
ENSG00000001461.15,126261.573205,157571.772549
ENSG00000001497.15,182898.948331,527132.340168
ENSG00000001561.6,169289.149521,67600.6192968
ENSG00000001617.10,69612.0415289,262406.868183
ENSG00000001626.13,529915.435053,698833.517142
ENSG00000001629.8,151191.534741,108404.735511
ENSG00000001630.14,109627.661679,95754.0236341
ENSG00000001631.13,91865.6738431,75548.7608595
ENSG00000002016.15,64787.5167038,38213.9494812
ENSG00000002079.11,549.29700283,0.0
ENSG00000002330.12,230110.25904,624682.545364
ENSG00000002549.11,896095.411598,716841.742956
ENSG00000002586.16,1660656.14228,311155.317033
ENSG00000002587.8,49890.6940249,34402.5944904
ENSG00000002726.18,1043176.45236,1007198.84526
ENSG00000002745.11,133.618475159,0.0
ENSG00000002746.13,2433.72202682,1980.41370842
ENSG00000002822.14,83951.8226224,167706.52767
ENSG00000002834.16,1609750.57382,610401.312579
ENSG00000002919.13,118780.4881,62567.5628764
ENSG00000002933.6,449882.613452,1791577.07735
ENSG00000003056.6,766247.722282,462078.180237
ENSG00000003096.12,9110.20445857,40647.68649
ENSG00000003137.7,11990.173271,5805.00129887
ENSG00000003147.16,256306.434521,358618.464774
ENSG00000003249.12,166706.91097,246702.256202
ENSG00000003393.13,54298.3843084,29297.1159302
ENSG00000003400.13,267929.698275,64369.9617573
ENSG00000003402.18,74791.0391168,60604.4042345
ENSG00000003436.13,15288.1139935,9443.90556194
ENSG00000003509.14,68504.2269137,61397.7068355
ENSG00000003756.15,102922.684849,135620.518626
ENSG00000003987.12,3904.11493714,1790.09636856
ENSG00000003989.15,55396.3942735,17493.0281076
ENSG00000004059.9,704946.150917,4162980.97757
ENSG00000004139.12,10837.4937376,5358.69328395
ENSG00000004142.10,1385666.11096,1481682.79086
ENSG00000004399.11,210974.145711,129147.866235
ENSG00000004455.15,689620.278975,561705.082465
ENSG00000004468.11,5402.92298133,4034.4970734
ENSG00000004478.7,2094447.38857,1240354.51546
ENSG00000004487.14,602726.217749,709724.158341
ENSG00000004534.13,113139.385216,207516.275376
ENSG00000004660.13,77473.5181429,69603.9125634
ENSG00000004700.14,127212.816778,48931.1057736
ENSG00000004766.14,45628.5751026,27714.0610984
ENSG00000004776.10,6832.00109312,71850.3753971
ENSG00000004777.17,16153.4829394,74994.0502875
ENSG00000004779.8,1079520.69717,1861353.71179
ENSG00000004799.7,38279.4311696,10629.549568
ENSG00000004809.12,111.525428076,0.0
ENSG00000004838.12,3151.94950794,2904.67263795
ENSG00000004846.15,94.1406173695,628.97443046
ENSG00000004848.6,2878.60469485,0.0
ENSG00000004864.12,196959.286859,182440.942101
ENSG00000004866.17,94100.0679253,125438.440815
ENSG00000004897.10,259496.79077,68684.7175224
ENSG00000004939.12,164.830659162,1376.58792859
ENSG00000004948.12,107.800556035,0.0
ENSG00000004961.13,311262.263649,679489.697004
ENSG00000004975.10,134383.971657,154810.975527
ENSG00000005001.8,572089.376643,176843.394198
ENSG00000005007.11,462126.969651,605598.998003
ENSG00000005020.11,34416.3430267,162964.369344
ENSG00000005022.5,8465359.47712,21288694.8083
ENSG00000005059.14,106549.755192,58779.3008692
