#gene_id,gene_name,Length
ENSG00000223972.5,DDX11L1,2541
ENSG00000227232.5,WASH7P,15167
ENSG00000278267.1,MIR6859-3,68
ENSG00000243485.3,RP11-34P13.3,1556
ENSG00000274890.1,MIR1302-9,138
ENSG00000237613.2,FAM138A,1528
ENSG00000268020.3,OR4G4P,840
ENSG00000240361.1,OR4G11P,940
ENSG00000186092.4,OR4F5,918
ENSG00000238009.5,RP11-34P13.7,44429
ENSG00000239945.1,RP11-34P13.8,1555
ENSG00000233750.3,CICP27,3812
ENSG00000268903.1,RP11-34P13.15,755
ENSG00000269981.1,RP11-34P13.16,284
ENSG00000239906.1,RP11-34P13.14,550
ENSG00000241860.5,RP11-34P13.13,32389
ENSG00000222623.1,RNU6-1100P,104
ENSG00000241599.1,RP11-34P13.9,1080
ENSG00000279928.1,FO538757.3,1766
ENSG00000279457.2,FO538757.2,15400
ENSG00000273874.1,MIR6859-2,68
ENSG00000275135.1,FO538757.1,138
ENSG00000228463.7,AP006222.2,39639
ENSG00000241670.3,AP006222.1,457
ENSG00000236679.2,RP4-669L17.1,385
ENSG00000236743.1,RP5-857K21.15,2299
ENSG00000236601.1,RP4-669L17.2,6848
ENSG00000237094.10,RP4-669L17.10,136229
ENSG00000269732.1,WBP1LP7,363
ENSG00000278566.1,OR4F29,939
ENSG00000224813.2,RP4-669L17.4,180
ENSG00000233653.3,CICP7,2806
ENSG00000250575.1,RP4-669L17.8,2017
ENSG00000278757.1,U6,104
ENSG00000231709.1,RP5-857K21.1,2465
ENSG00000235146.2,RP5-857K21.2,7140
ENSG00000239664.2,RP5-857K21.3,3046
ENSG00000230021.6,RP5-857K21.4,123272
ENSG00000223659.1,RP5-857K21.5,1634
ENSG00000225972.1,MTND1P23,372
ENSG00000225630.1,MTND2P28,1044
ENSG00000276171.1,AC114498.1,63
ENSG00000237973.1,RP5-857K21.6,1543
ENSG00000278791.1,MIR6723,89
ENSG00000229344.1,RP5-857K21.7,682
ENSG00000240409.1,MTATP8P1,207
ENSG00000248527.1,MTATP6P1,681
