Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	1	3301765	247650984	130003	0.006
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	480597	7954314	4566	-0.0261
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	8015429	20705237	8783	0.0141
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	20705544	25066959	2461	-0.0254
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	25070069	29189554	1914	0.017
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	29189662	36012270	3736	-0.0247
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	36012643	38705565	1458	0.0311
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	38705635	41607319	1648	-0.0214
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	41607728	47727127	4196	0.0319
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	47728396	52802052	2616	-0.0379
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	52802867	66518758	7735	0.003
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	66521838	68326669	1263	-0.0447
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	68327509	76456134	4577	0.0044
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	76458776	83871450	3888	-0.0306
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	83874451	122963658	16548	0.0017
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	122963846	154207380	16479	-0.0224
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	154209693	189039688	19866	0.0076
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	189039776	191555818	1489	0.0595
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	191556259	222329380	17554	-0.0011
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	222330913	223663102	903	0.0525
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	223664942	226034340	1513	-0.0292
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	226034531	234016165	4482	0.0196
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	2	234016310	241537572	4656	-0.0083
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	2170634	3220106	486	-0.0322
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	3220630	3220794	3	-1.0093
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	3222372	15439219	7662	0.007
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	15440877	24157094	4646	-0.0219
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	24161087	59589323	20724	0.0089
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	59591594	59720118	131	0.3409
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	61040294	107737389	25124	-0.0055
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	107738369	112803281	2824	0.0315
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	112805960	143699559	17729	-7e-04
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	143700339	145014289	735	-0.0657
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	145014887	168629173	11943	-0.0018
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	168629189	173142671	2653	0.0372
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	173144951	189027918	8307	0.003
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	189030678	190697008	1154	0.0715
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	3	190697717	197812401	3193	0.0098
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	1059384	15793859	8968	-0.003
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	15794022	16619224	605	0.0752
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	16619766	23966759	4763	-0.0226
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	23967007	27700169	2482	0.0269
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	27700219	36987055	5431	-0.0206
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	36988510	39146613	1627	0.0447
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	39149767	41464836	1201	0.0153
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	41467868	48006359	3292	-0.0286
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	48008127	57097006	3449	0.0098
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	57097164	67317364	5702	-0.0406
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	67317861	73382145	2673	0.0093
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	73384148	77539473	2671	0.0465
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	77539671	91338334	8224	0.0069
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	91340802	91340853	2	-1.4965
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	91340980	95456443	2110	0.024
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	95457481	102261331	3846	-0.0271
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	102261459	113672225	6498	0.0056
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	113672310	114931062	748	0.078
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	114932177	129518081	7956	-0.0018
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	129518316	137473764	3746	-0.0363
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	137473942	153886934	9398	0.0129
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	153889906	167749174	7878	-0.0275
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	167754725	175205219	4112	0.0075
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	175205667	182378165	4012	-0.0342
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	4	182378238	187842528	2245	0.0181
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	914118	12033412	8020	-0.0362
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	12033790	19207285	3706	0.0131
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	19207968	33597351	8078	-0.0374
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	33597430	72606047	18344	0.0071
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	72610893	74599144	1401	0.0543
SNORT_p_TCGA_b89_SNP_N_GenomeWideSNP_6_C02_777230	5	74602853	78806903	2467	0.009
