Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	3301765	55997981	28545	9e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	55998133	56008996	3	1.2574
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	56009553	189988970	64643	0.0037
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	189989653	189991050	10	-0.5188
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	189991555	197480143	4299	8e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	197481506	197487671	3	-1.4551
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	1	197493065	247650984	32555	0.0044
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	2	480597	241537572	132413	0.0031
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	3	2170634	116789043	64065	0.0044
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	3	116790621	116791836	3	-1.4373
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	3	116792316	190032449	39633	0.005
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	3	190032497	190033001	2	-1.4721
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	3	190033271	197812401	3647	0.0068
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	1059384	19485486	11508	0.0016
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	19488543	19505362	12	-0.5183
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	19505538	42830966	14428	6e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	42831775	42834381	2	-2.4983
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	42835666	54709325	4458	-0.0022
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	54709340	54716309	9	0.5558
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	54717935	66791521	6785	-2e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	66791760	66793761	4	-1.1262
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	66795404	162361186	53231	0.0052
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	162361241	162362283	2	-1.5361
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	162362401	173610423	6034	5e-04
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	173613131	173613455	2	-1.6838
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	4	173617854	187842528	7209	0.0032
FAMED_p_TCGAb66and76_SNP_N_GenomeWideSNP_6_H02_730040	5	913983	180934240	101316	0.0019
